COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_DRAGGED, x:41, y:87, bt:0, since:20751
MOUSE_DRAGGED, x:42, y:87, bt:0, since:20783
MOUSE_DRAGGED, x:42, y:88, bt:0, since:20783
MOUSE_DRAGGED, x:43, y:88, bt:0, since:20815
MOUSE_DRAGGED, x:44, y:88, bt:0, since:20847
MOUSE_DRAGGED, x:45, y:88, bt:0, since:20900
MOUSE_DRAGGED, x:46, y:88, bt:0, since:20962
MOUSE_DRAGGED, x:45, y:85, bt:0, since:21121
MOUSE_DRAGGED, x:45, y:84, bt:0, since:21152
MOUSE_DRAGGED, x:44, y:84, bt:0, since:21153
MOUSE_DRAGGED, x:44, y:83, bt:0, since:21153
MOUSE_DRAGGED, x:44, y:82, bt:0, since:21184
MOUSE_DRAGGED, x:44, y:81, bt:0, since:21249
MOUSE_DRAGGED, x:44, y:80, bt:0, since:21249
MOUSE_DRAGGED, x:44, y:79, bt:0, since:21280
MOUSE_DRAGGED, x:44, y:78, bt:0, since:21312
MOUSE_DRAGGED, x:44, y:77, bt:0, since:21398
MOUSE_DRAGGED, x:45, y:76, bt:0, since:21425
MOUSE_DRAGGED, x:46, y:76, bt:0, since:21425
MOUSE_DRAGGED, x:44, y:76, bt:0, since:21602
MOUSE_DRAGGED, x:43, y:76, bt:0, since:21623
MOUSE_DRAGGED, x:42, y:76, bt:0, since:21646
MOUSE_DRAGGED, x:41, y:75, bt:0, since:21735
MOUSE_DRAGGED, x:40, y:75, bt:0, since:21763
MOUSE_DRAGGED, x:39, y:75, bt:0, since:21880
MOUSE_DRAGGED, x:38, y:74, bt:0, since:22040
MOUSE_DRAGGED, x:37, y:75, bt:0, since:22101
MOUSE_DRAGGED, x:36, y:77, bt:0, since:22101
MOUSE_DRAGGED, x:35, y:78, bt:0, since:22133
MOUSE_DRAGGED, x:35, y:79, bt:0, since:22193
MOUSE_DRAGGED, x:36, y:80, bt:0, since:22302
MOUSE_DRAGGED, x:38, y:81, bt:0, since:22351
MOUSE_DRAGGED, x:39, y:82, bt:0, since:22408
MOUSE_DRAGGED, x:40, y:82, bt:0, since:22408
MOUSE_DRAGGED, x:42, y:82, bt:0, since:22460
MOUSE_DRAGGED, x:43, y:81, bt:0, since:22687
MOUSE_DRAGGED, x:44, y:79, bt:0, since:22719
MOUSE_DRAGGED, x:44, y:78, bt:0, since:22747
MOUSE_DRAGGED, x:44, y:77, bt:0, since:22795
MOUSE_DRAGGED, x:45, y:76, bt:0, since:22882
MOUSE_DRAGGED, x:44, y:75, bt:0, since:22958
MOUSE_DRAGGED, x:42, y:74, bt:0, since:23048
MOUSE_DRAGGED, x:41, y:74, bt:0, since:23075
MOUSE_DRAGGED, x:40, y:74, bt:0, since:23107
MOUSE_DRAGGED, x:39, y:74, bt:0, since:23204
MOUSE_DRAGGED, x:38, y:73, bt:0, since:23282
MOUSE_DRAGGED, x:37, y:74, bt:0, since:23359
MOUSE_DRAGGED, x:34, y:77, bt:0, since:23423
MOUSE_DRAGGED, x:34, y:79, bt:0, since:23456
MOUSE_DRAGGED, x:34, y:80, bt:0, since:23487
MOUSE_DRAGGED, x:34, y:81, bt:0, since:23598
MOUSE_DRAGGED, x:34, y:82, bt:0, since:23682
MOUSE_DRAGGED, x:34, y:83, bt:0, since:23719
MOUSE_DRAGGED, x:34, y:84, bt:0, since:23775
MOUSE_DRAGGED, x:35, y:86, bt:0, since:23827
